Departamento;Codigo;Nome;Valor;Data_Pagamento;Tipo Folha
Operacional;294;SERGIO CARVALHO MENDES;57.48;01/06/2026;Extra
ACME_OPERACIONAL_DIARIA;188;ANA CAVALCANTE SALES;54.4;01/06/2026;Extra
ACME_ADM DA FABRICA;255;MARCELO CAVALCANTE DIAS MONTEIRO;94.55;01/06/2026;Extra
Operacional;154;AMANDA TEIXEIRA SALES FILHO;129.55;01/06/2026;Extra
Apoio a Producao;121;FRANCISCA NUNES PEIXOTO;165.33;01/06/2026;Extra
ACME_DP/RH;162;BRUNA ALVES NETO BATISTA;102.38;01/06/2026;Extra
Administracao - Fabrica;272;CARLOS MARTINS MENDES;93.76;01/06/2026;Extra
Administracao - Fabrica;208;EDUARDO ALMEIDA DIAS;44.84;01/06/2026;Extra
ACME_PRODUCAO;112;MARCOS NUNES DIAS GUIMARAES;85.2;01/06/2026;Extra
Pre-Moldados;197;GUSTAVO LIMA SALES;35.19;01/06/2026;Extra
Pre-Moldados;248;WAGNER COSTA REIS GUIMARAES;59.75;01/06/2026;Extra
Operacional;117;RENATO PEREIRA MONTEIRO BEZERRA;89.28;01/06/2026;Extra
Apoio a Producao;166;RENATO MOREIRA MENDES MONTEIRO;170.28;01/06/2026;Extra
Pre-Moldados;194;JULIANA ALMEIDA PEIXOTO;82.04;01/06/2026;Extra
Operacional;134;ANTONIA SOUZA PEIXOTO FREITAS;82.23;01/06/2026;Extra
ACME_ADM DA FABRICA;229;PATRICIA DOS SANTOS JUNIOR;461.79;01/06/2026;Extra
ACME_OPERACIONAL_DIARIA;145;MARIA FERREIRA MENDES;48.08;01/06/2026;Extra
ACME_DP/RH;140;GUSTAVO DOS SANTOS GUIMARAES SALES;95.28;01/06/2026;Extra
