Departamento;Codigo;Nome;Valor;Data_Pagamento;Tipo Folha
Administracao - Fabrica;263;JOAO CAVALCANTE CASTRO FILHO;1362.49;01/06/2026;Normal Principal
Pre-Moldados;155;LEANDRO CORREIA XAVIER;909.82;01/06/2026;Normal Principal
Operacional;294;SERGIO CARVALHO MENDES;1105.48;01/06/2026;Normal Principal
ACME_OPERACIONAL_DIARIA;188;ANA CAVALCANTE SALES;939.15;01/06/2026;Normal Principal
ACME_ADM DA FABRICA;247;SERGIO DE OLIVEIRA REIS;5533.57;01/06/2026;Normal Principal
Operacional;171;CRISTINA RIBEIRO PINTO;1341.14;01/06/2026;Normal Principal
ACME_ADM DA FABRICA;255;MARCELO CAVALCANTE DIAS MONTEIRO;2623.11;01/06/2026;Normal Principal
Administracao - Fabrica;296;RICARDO DOS SANTOS MENDES;1203.93;01/06/2026;Normal Principal
Operacional;154;AMANDA TEIXEIRA SALES FILHO;1375.38;01/06/2026;Normal Principal
Administracao - Fabrica;192;ANTONIO ARAUJO GUIMARAES REIS;1137.76;01/06/2026;Normal Principal
Pre-Moldados;252;GUSTAVO MARTINS FARIAS;3139.87;01/06/2026;Normal Principal
Apoio a Producao;274;DEBORA TEIXEIRA MENDES BATISTA;862.34;01/06/2026;Normal Principal
Pre-Moldados;228;LEANDRO SOUZA FREITAS;1219.45;01/06/2026;Normal Principal
ACME_ADM DA FABRICA;253;LETICIA DA SILVA NETO;3837.39;01/06/2026;Normal Principal
Apoio a Producao;121;FRANCISCA NUNES PEIXOTO;1233.62;01/06/2026;Normal Principal
ACME_OPERACIONAL_DIARIA;235;MARCIA NASCIMENTO ROCHA;988.57;01/06/2026;Normal Principal
Operacional;130;RICARDO DE OLIVEIRA MENDES PEIXOTO;876.08;01/06/2026;Normal Principal
ACME_ADM DA FABRICA;158;CARLOS COSTA JUNIOR;2662.43;01/06/2026;Normal Principal
ACME_DP/RH;162;BRUNA ALVES NETO BATISTA;1437.26;01/06/2026;Normal Principal
Administracao - Fabrica;272;CARLOS MARTINS MENDES;913.17;01/06/2026;Normal Principal
Administracao - Fabrica;208;EDUARDO ALMEIDA DIAS;1051.43;01/06/2026;Normal Principal
ACME_PRODUCAO;112;MARCOS NUNES DIAS GUIMARAES;1700.91;01/06/2026;Normal Principal
Pre-Moldados;197;GUSTAVO LIMA SALES;925.42;01/06/2026;Normal Principal
Pre-Moldados;248;WAGNER COSTA REIS GUIMARAES;1224.18;01/06/2026;Normal Principal
Operacional;117;RENATO PEREIRA MONTEIRO BEZERRA;1186.92;01/06/2026;Normal Principal
Apoio a Producao;166;RENATO MOREIRA MENDES MONTEIRO;1442.16;01/06/2026;Normal Principal
Pre-Moldados;102;TATIANE CARDOSO NETO ROCHA;2244.35;01/06/2026;Normal Principal
Pre-Moldados;194;JULIANA ALMEIDA PEIXOTO;1313.43;01/06/2026;Normal Principal
Operacional;134;ANTONIA SOUZA PEIXOTO FREITAS;1126.49;01/06/2026;Normal Principal
ACME_ADM DA FABRICA;229;PATRICIA DOS SANTOS JUNIOR;4023.28;01/06/2026;Normal Principal
Administracao - Fabrica;141;SIMONE MOREIRA BATISTA;1592.66;01/06/2026;Normal Principal
Administracao - Escritorio;239;FERNANDO CARDOSO PEIXOTO FILHO;1375.69;01/06/2026;Normal Principal
Pre-Moldados;191;RENATO PEREIRA NETO;1056.31;01/06/2026;Normal Principal
ACME_OPERACIONAL_DIARIA;145;MARIA FERREIRA MENDES;1128.54;01/06/2026;Normal Principal
ACME_DP/RH;140;GUSTAVO DOS SANTOS GUIMARAES SALES;1487.42;01/06/2026;Normal Principal
ACME_ADM DA FABRICA;106;GUSTAVO COSTA CASTRO;1555.83;01/06/2026;Normal Principal
