Departamento;Codigo;Nome;Valor;Data_Pagamento;Tipo Folha
Administracao - Fabrica;263;JOAO CAVALCANTE CASTRO FILHO;999.19;01/06/2026;Normal Quinzena
Pre-Moldados;155;LEANDRO CORREIA XAVIER;603.21;01/06/2026;Normal Quinzena
Operacional;294;SERGIO CARVALHO MENDES;842.17;01/06/2026;Normal Quinzena
ACME_OPERACIONAL_DIARIA;188;ANA CAVALCANTE SALES;666.98;01/06/2026;Normal Quinzena
ACME_ADM DA FABRICA;247;SERGIO DE OLIVEIRA REIS;3719.97;01/06/2026;Normal Quinzena
Operacional;171;CRISTINA RIBEIRO PINTO;1033.28;01/06/2026;Normal Quinzena
ACME_ADM DA FABRICA;255;MARCELO CAVALCANTE DIAS MONTEIRO;1856.92;01/06/2026;Normal Quinzena
Administracao - Fabrica;296;RICARDO DOS SANTOS MENDES;813.52;01/06/2026;Normal Quinzena
Operacional;154;AMANDA TEIXEIRA SALES FILHO;955.57;01/06/2026;Normal Quinzena
Administracao - Fabrica;192;ANTONIO ARAUJO GUIMARAES REIS;729.7;01/06/2026;Normal Quinzena
Pre-Moldados;252;GUSTAVO MARTINS FARIAS;2084.54;01/06/2026;Normal Quinzena
Apoio a Producao;274;DEBORA TEIXEIRA MENDES BATISTA;597.58;01/06/2026;Normal Quinzena
Pre-Moldados;228;LEANDRO SOUZA FREITAS;882.35;01/06/2026;Normal Quinzena
ACME_ADM DA FABRICA;253;LETICIA DA SILVA NETO;2770.9;01/06/2026;Normal Quinzena
Apoio a Producao;121;FRANCISCA NUNES PEIXOTO;931.2;01/06/2026;Normal Quinzena
ACME_OPERACIONAL_DIARIA;235;MARCIA NASCIMENTO ROCHA;714.81;01/06/2026;Normal Quinzena
Operacional;130;RICARDO DE OLIVEIRA MENDES PEIXOTO;539.99;01/06/2026;Normal Quinzena
ACME_ADM DA FABRICA;158;CARLOS COSTA JUNIOR;1695.68;01/06/2026;Normal Quinzena
ACME_DP/RH;162;BRUNA ALVES NETO BATISTA;1003.68;01/06/2026;Normal Quinzena
Administracao - Fabrica;272;CARLOS MARTINS MENDES;650.55;01/06/2026;Normal Quinzena
Administracao - Fabrica;208;EDUARDO ALMEIDA DIAS;781.21;01/06/2026;Normal Quinzena
ACME_PRODUCAO;112;MARCOS NUNES DIAS GUIMARAES;1109.98;01/06/2026;Normal Quinzena
Pre-Moldados;197;GUSTAVO LIMA SALES;604.04;01/06/2026;Normal Quinzena
Pre-Moldados;248;WAGNER COSTA REIS GUIMARAES;891.99;01/06/2026;Normal Quinzena
Operacional;117;RENATO PEREIRA MONTEIRO BEZERRA;895.25;01/06/2026;Normal Quinzena
Apoio a Producao;166;RENATO MOREIRA MENDES MONTEIRO;1043.1;01/06/2026;Normal Quinzena
Pre-Moldados;102;TATIANE CARDOSO NETO ROCHA;1575.22;01/06/2026;Normal Quinzena
Pre-Moldados;194;JULIANA ALMEIDA PEIXOTO;971.01;01/06/2026;Normal Quinzena
Operacional;134;ANTONIA SOUZA PEIXOTO FREITAS;808.92;01/06/2026;Normal Quinzena
ACME_ADM DA FABRICA;229;PATRICIA DOS SANTOS JUNIOR;2691.64;01/06/2026;Normal Quinzena
Administracao - Fabrica;141;SIMONE MOREIRA BATISTA;1181.74;01/06/2026;Normal Quinzena
Administracao - Escritorio;239;FERNANDO CARDOSO PEIXOTO FILHO;1021.23;01/06/2026;Normal Quinzena
Pre-Moldados;191;RENATO PEREIRA NETO;792.22;01/06/2026;Normal Quinzena
ACME_OPERACIONAL_DIARIA;145;MARIA FERREIRA MENDES;807.39;01/06/2026;Normal Quinzena
ACME_DP/RH;140;GUSTAVO DOS SANTOS GUIMARAES SALES;1031.5;01/06/2026;Normal Quinzena
ACME_ADM DA FABRICA;106;GUSTAVO COSTA CASTRO;968.47;01/06/2026;Normal Quinzena
