Departamento;Codigo;Nome;Rubrica_Nome;Competencia;Valor_Calculado;Horas
ACME_OPERACIONAL_DIARIA;235;MARCIA NASCIMENTO ROCHA;HORAS EXTRAS 100%;05/2026;223.63;18.85
Pre-Moldados;194;JULIANA ALMEIDA PEIXOTO;HORAS EXTRAS 50%;05/2026;59.22;3.72
ACME_ADM DA FABRICA;247;SERGIO DE OLIVEIRA REIS;HORAS EXTRAS 50%;05/2026;1197.82;19.38
ACME_ADM DA FABRICA;253;LETICIA DA SILVA NETO;HORAS EXTRAS 50%;05/2026;691.32;15.19
Administracao - Fabrica;272;CARLOS MARTINS MENDES;HORAS EXTRAS 100%;05/2026;94.37;8.57
Apoio a Producao;166;RENATO MOREIRA MENDES MONTEIRO;HORAS EXTRAS 50%;05/2026;65.53;4.09
ACME_OPERACIONAL_DIARIA;188;ANA CAVALCANTE SALES;HORAS EXTRAS 100%;05/2026;44.4;4.07
Operacional;134;ANTONIA SOUZA PEIXOTO FREITAS;HORAS EXTRAS 100%;05/2026;266.48;19.89
Operacional;117;RENATO PEREIRA MONTEIRO BEZERRA;HORAS EXTRAS 50%;05/2026;108.3;7.44
ACME_OPERACIONAL_DIARIA;145;MARIA FERREIRA MENDES;HORAS EXTRAS 50%;05/2026;97.6;7.78
