Departamento;Codigo;Nome;Rubrica_Nome;Competencia;Valor_Calculado;Horas
Pre-Moldados;248;WAGNER COSTA REIS GUIMARAES;HORAS EXTRAS 50%;05/2026;255.15;18.21
Pre-Moldados;155;LEANDRO CORREIA XAVIER;HORAS EXTRAS 50%;05/2026;64.89;6.14
ACME_PRODUCAO;112;MARCOS NUNES DIAS GUIMARAES;HORAS EXTRAS 100%;05/2026;323.88;16.58
ACME_ADM DA FABRICA;229;PATRICIA DOS SANTOS JUNIOR;HORAS EXTRAS 100%;05/2026;386.61;8.71
Operacional;134;ANTONIA SOUZA PEIXOTO FREITAS;HORAS EXTRAS 50%;05/2026;191.72;14.31
Pre-Moldados;197;GUSTAVO LIMA SALES;HORAS EXTRAS 50%;05/2026;65.29;6.3
Administracao - Fabrica;263;JOAO CAVALCANTE CASTRO FILHO;HORAS EXTRAS 50%;05/2026;152.92;9.08
Pre-Moldados;228;LEANDRO SOUZA FREITAS;HORAS EXTRAS 50%;05/2026;89.78;6.11
Pre-Moldados;252;GUSTAVO MARTINS FARIAS;HORAS EXTRAS 100%;05/2026;458.23;13.05
Operacional;130;RICARDO DE OLIVEIRA MENDES PEIXOTO;HORAS EXTRAS 50%;05/2026;25.08;2.59
Administracao - Fabrica;272;CARLOS MARTINS MENDES;HORAS EXTRAS 50%;05/2026;25.0;2.27
Administracao - Fabrica;192;ANTONIO ARAUJO GUIMARAES REIS;HORAS EXTRAS 100%;05/2026;122.98;9.62
Pre-Moldados;102;TATIANE CARDOSO NETO ROCHA;HORAS EXTRAS 100%;05/2026;505.16;19.89
Operacional;294;SERGIO CARVALHO MENDES;HORAS EXTRAS 100%;05/2026;238.55;18.61
ACME_OPERACIONAL_DIARIA;188;ANA CAVALCANTE SALES;HORAS EXTRAS 50%;05/2026;139.75;12.81
Administracao - Fabrica;296;RICARDO DOS SANTOS MENDES;HORAS EXTRAS 50%;05/2026;153.89;11.01
ACME_OPERACIONAL_DIARIA;145;MARIA FERREIRA MENDES;HORAS EXTRAS 50%;05/2026;236.11;18.82
Administracao - Fabrica;141;SIMONE MOREIRA BATISTA;HORAS EXTRAS 50%;05/2026;112.33;5.98
Operacional;154;AMANDA TEIXEIRA SALES FILHO;HORAS EXTRAS 100%;05/2026;79.04;4.83
ACME_ADM DA FABRICA;158;CARLOS COSTA JUNIOR;HORAS EXTRAS 50%;05/2026;381.58;12.94
ACME_DP/RH;140;GUSTAVO DOS SANTOS GUIMARAES SALES;HORAS EXTRAS 50%;05/2026;117.85;6.51
